epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4072.31,2.04305,1.16606,1.09115,0.74259,0.63309,0.62266,0.31381,1.76333,0.85159,0.99235,0.000666341,0.000666341,0.000666341
2,8229.99,1.77837,0.86039,1.01244,0.78277,0.66651,0.64696,0.33961,1.68598,0.78927,0.9756,0.00120104,0.00120104,0.00120104
3,12382.1,1.72136,0.82213,0.99396,0.77553,0.69755,0.66371,0.3591,1.61931,0.76842,0.95256,0.00160374,0.00160374,0.00160374
4,16430.2,1.68375,0.79526,0.98032,0.79247,0.68683,0.68707,0.36976,1.59859,0.76235,0.94943,0.001406,0.001406,0.001406
5,20449.2,1.6566,0.77788,0.97265,0.81141,0.71001,0.71154,0.38746,1.56308,0.73726,0.93727,0.001208,0.001208,0.001208
6,24426.9,1.62765,0.75811,0.96335,0.82381,0.70522,0.70532,0.39144,1.54386,0.71791,0.93606,0.00101,0.00101,0.00101
7,28389.3,1.60443,0.74049,0.95728,0.81568,0.71023,0.70769,0.3933,1.5337,0.72014,0.92969,0.000812,0.000812,0.000812
8,32619.1,1.58579,0.7283,0.95219,0.82294,0.73077,0.71998,0.40483,1.51504,0.69701,0.92632,0.000614,0.000614,0.000614
9,36739.1,1.57107,0.71614,0.94685,0.83492,0.73433,0.73691,0.41204,1.51387,0.68954,0.92382,0.000416,0.000416,0.000416
10,40963.1,1.55702,0.70504,0.94398,0.84011,0.73468,0.74006,0.41587,1.4982,0.67936,0.92141,0.000218,0.000218,0.000218
