epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3800.4,1.49075,0.65713,0.92353,0.85931,0.7565,0.75629,0.43249,1.47144,0.66062,0.91418,0.000666341,0.000666341,0.000666341
2,7559.04,1.50621,0.67134,0.92906,0.85273,0.75608,0.75412,0.42998,1.47686,0.66171,0.91484,0.00120104,0.00120104,0.00120104
3,11303.9,1.50858,0.67384,0.92985,0.85891,0.75194,0.75428,0.43202,1.4694,0.66284,0.91311,0.00160374,0.00160374,0.00160374
4,15046.6,1.50891,0.67376,0.92907,0.85678,0.7561,0.75515,0.43277,1.47084,0.66302,0.91258,0.001406,0.001406,0.001406
5,18754,1.50462,0.66839,0.92898,0.85597,0.76075,0.76397,0.43851,1.45625,0.6511,0.90981,0.001208,0.001208,0.001208
6,22465.3,1.49365,0.66295,0.92573,0.86141,0.75925,0.75818,0.43952,1.45356,0.6472,0.90803,0.00101,0.00101,0.00101
7,26187.6,1.4897,0.65864,0.92477,0.86342,0.76078,0.76746,0.44134,1.44758,0.64122,0.90787,0.000812,0.000812,0.000812
8,29913.3,1.48327,0.65366,0.92378,0.86474,0.76848,0.77658,0.44637,1.44574,0.63708,0.90649,0.000614,0.000614,0.000614
9,33638.7,1.47859,0.64915,0.9218,0.86784,0.77097,0.78579,0.45288,1.44158,0.63092,0.90469,0.000416,0.000416,0.000416
10,37347.4,1.47256,0.64279,0.9211,0.8684,0.77334,0.77852,0.45186,1.43296,0.62431,0.90382,0.000218,0.000218,0.000218
